Date,Open,High,Low,Close,Tick Volume,Volume,Spread
2021.10.01 09:15,18.82,18.85,18.82,18.82,1,0,0
2021.10.01 09:16,18.83,18.85,18.74,18.8,1,0,0
2021.10.01 09:17,18.8,18.91,18.8,18.88,1,0,0
2021.10.01 09:18,18.87,18.97,18.81,18.81,1,0,0
2021.10.01 09:19,18.82,18.96,18.82,18.96,1,0,0
2021.10.01 09:20,18.97,19.06,18.95,19.05,1,0,0
2021.10.01 09:21,19.05,19.06,19.01,19.05,1,0,0
2021.10.01 09:22,19.05,19.08,18.91,18.91,1,0,0
2021.10.01 09:23,18.91,18.91,18.79,18.9,1,0,0
2021.10.01 09:24,18.91,18.92,18.85,18.89,1,0,0
2021.10.01 09:25,18.88,18.96,18.81,18.95,1,0,0
2021.10.01 09:26,18.96,18.96,18.88,18.89,1,0,0
2021.10.01 09:27,18.89,18.94,18.88,18.92,1,0,0
2021.10.01 09:28,18.93,18.95,18.87,18.9,1,0,0
2021.10.01 09:29,18.9,18.94,18.87,18.88,1,0,0
2021.10.01 09:30,18.88,18.91,18.86,18.87,1,0,0
2021.10.01 09:31,18.87,18.91,18.85,18.85,1,0,0
2021.10.01 09:32,18.83,18.83,18.74,18.75,1,0,0
2021.10.01 09:33,18.75,18.75,18.72,18.74,1,0,0
2021.10.01 09:34,18.74,18.75,18.71,18.75,1,0,0
2021.10.01 09:35,18.75,18.78,18.71,18.78,1,0,0
2021.10.01 09:36,18.78,18.79,18.73,18.78,1,0,0
2021.10.01 09:37,18.78,18.8,18.73,18.73,1,0,0
2021.10.01 09:38,18.73,18.76,18.71,18.76,1,0,0
2021.10.01 09:39,18.76,18.8,18.73,18.78,1,0,0
2021.10.01 09:40,18.78,18.79,18.76,18.77,1,0,0
2021.10.01 09:41,18.76,18.77,18.75,18.75,1,0,0
2021.10.01 09:42,18.76,18.76,18.72,18.74,1,0,0
2021.10.01 09:43,18.74,18.76,18.72,18.75,1,0,0
2021.10.01 09:44,18.76,18.76,18.73,18.73,1,0,0
2021.10.01 09:45,18.73,18.73,18.69,18.71,1,0,0
2021.10.01 09:46,18.7,18.78,18.69,18.78,1,0,0
2021.10.01 09:47,18.79,18.82,18.78,18.79,1,0,0
2021.10.01 09:48,18.79,18.84,18.78,18.84,1,0,0
2021.10.01 09:49,18.84,18.86,18.83,18.85,1,0,0
2021.10.01 09:50,18.84,18.87,18.83,18.85,1,0,0
2021.10.01 09:51,18.85,18.86,18.81,18.81,1,0,0
2021.10.01 09:52,18.81,18.82,18.78,18.81,1,0,0
2021.10.01 09:53,18.81,18.82,18.81,18.81,1,0,0
2021.10.01 09:54,18.8,18.84,18.79,18.79,1,0,0
2021.10.01 09:55,18.79,18.84,18.74,18.84,1,0,0
2021.10.01 09:56,18.84,18.85,18.76,18.77,1,0,0
2021.10.01 09:57,18.78,18.83,18.78,18.82,1,0,0
2021.10.01 09:58,18.82,18.83,18.66,18.66,1,0,0
2021.10.01 09:59,18.67,18.71,18.67,18.69,1,0,0
2021.10.01 10:00,18.69,18.71,18.68,18.7,1,0,0
2021.10.01 10:01,18.7,18.7,18.63,18.66,1,0,0
2021.10.01 10:02,18.66,18.67,18.64,18.65,1,0,0
2021.10.01 10:03,18.65,18.65,18.59,18.59,1,0,0
2021.10.01 10:04,18.6,18.62,18.56,18.57,1,0,0
2021.10.01 10:05,18.57,18.57,18.49,18.49,1,0,0
2021.10.01 10:06,18.48,18.51,18.46,18.51,1,0,0
2021.10.01 10:07,18.52,18.6,18.52,18.6,1,0,0
2021.10.01 10:08,18.6,18.6,18.54,18.6,1,0,0
2021.10.01 10:09,18.59,18.59,18.52,18.52,1,0,0
2021.10.01 10:10,18.53,18.53,18.44,18.47,1,0,0
2021.10.01 10:11,18.46,18.46,18.44,18.44,1,0,0
2021.10.01 10:12,18.44,18.44,18.43,18.43,1,0,0
2021.10.01 10:13,18.43,18.48,18.41,18.45,1,0,0
2021.10.01 10:14,18.46,18.49,18.45,18.48,1,0,0
2021.10.01 10:15,18.5,18.52,18.47,18.5,1,0,0
2021.10.01 10:16,18.5,18.51,18.49,18.5,1,0,0
2021.10.01 10:17,18.49,18.49,18.34,18.36,1,0,0
2021.10.01 10:18,18.36,18.38,18.35,18.38,1,0,0
2021.10.01 10:19,18.38,18.38,18.33,18.35,1,0,0
2021.10.01 10:20,18.35,18.35,18.26,18.3,1,0,0
2021.10.01 10:21,18.3,18.37,18.29,18.34,1,0,0
2021.10.01 10:22,18.34,18.34,18.23,18.26,1,0,0
2021.10.01 10:23,18.25,18.27,18.24,18.26,1,0,0
2021.10.01 10:24,18.26,18.28,18.25,18.28,1,0,0
2021.10.01 10:25,18.28,18.36,18.28,18.33,1,0,0
2021.10.01 10:26,18.34,18.35,18.3,18.31,1,0,0
2021.10.01 10:27,18.31,18.33,18.29,18.32,1,0,0
2021.10.01 10:28,18.32,18.33,18.28,18.28,1,0,0
2021.10.01 10:29,18.29,18.32,18.26,18.32,1,0,0
2021.10.01 10:30,18.33,18.37,18.3,18.37,1,0,0
2021.10.01 10:31,18.36,18.37,18.29,18.29,1,0,0
