Date,Open,High,Low,Close,Tick Volume,Volume,Spread
2021.10.01 09:17,481.2,481.2,481.2,481.2,50,650,0
2021.10.01 09:18,471.0,471.0,471.0,471.0,150,700,0
2021.10.01 09:19,464.5,464.5,464.5,464.5,200,700,0
2021.10.01 09:26,477.3,477.3,477.3,477.3,100,1050,0
2021.10.01 09:28,474.4,474.4,474.4,474.4,50,1050,0
2021.10.01 09:29,467.8,467.8,467.8,467.8,100,1200,0
2021.10.01 09:30,477.85,479.1,477.85,479.1,50,1200,0
2021.10.01 09:31,479.1,493.1,478.6,493.1,400,1200,0
2021.10.01 09:32,493.1,493.1,475.5,475.5,100,1600,0
2021.10.01 09:45,475.5,475.5,475.5,475.5,100,1600,0
2021.10.01 09:48,470.0,470.0,450.0,450.0,50,1700,0
2021.10.01 09:52,450.0,450.0,445.0,445.0,50,1700,0
2021.10.01 09:55,445.0,445.0,445.0,445.0,100,1700,0
2021.10.01 09:58,455.0,455.0,455.0,455.0,100,1700,0
2021.10.01 10:07,458.95,458.95,458.95,458.95,50,1650,0
2021.10.01 10:17,481.3,481.3,481.3,481.3,50,1700,0
2021.10.01 10:27,491.0,491.0,487.1,487.1,50,1700,0
2021.10.01 10:33,487.1,487.1,478.85,478.85,50,1700,0
2021.10.01 10:35,478.85,478.85,478.85,478.85,50,1700,0
2021.10.01 10:37,472.6,472.6,472.6,472.6,50,1750,0
2021.10.01 11:06,507.7,507.7,507.7,507.7,100,1800,0
2021.10.01 11:09,489.3,489.3,489.3,489.3,100,1800,0
2021.10.01 11:12,495.95,495.95,495.95,495.95,100,1800,0
2021.10.01 11:20,495.95,495.95,477.8,477.8,100,1700,0
2021.10.01 11:28,477.8,477.8,475.2,475.2,50,1700,0
2021.10.01 11:37,475.2,475.2,475.2,475.2,50,1700,0
2021.10.01 11:42,483.4,483.4,460.0,460.0,50,1750,0
2021.10.01 11:50,460.0,460.0,453.65,453.65,50,1750,0
2021.10.01 12:07,453.65,453.65,453.65,453.65,50,1750,0
2021.10.01 12:34,452.9,452.9,452.9,452.9,50,1700,0
2021.10.01 13:00,475.0,477.9,475.0,477.9,150,1700,0
2021.10.01 13:08,471.65,471.65,470.0,470.0,50,1750,0
2021.10.01 13:15,470.0,470.3,470.0,470.3,50,1750,0
2021.10.01 13:16,470.3,470.3,470.3,470.3,50,1750,0
2021.10.01 13:37,475.9,475.9,461.85,461.85,200,2000,0
2021.10.01 13:43,461.85,461.85,461.85,461.85,50,2000,0
2021.10.01 13:45,462.45,467.15,462.45,467.15,100,2050,0
2021.10.01 13:46,461.85,461.85,461.85,461.85,50,2050,0
2021.10.01 13:50,473.5,474.9,472.75,474.9,100,1950,0
2021.10.01 14:00,474.9,491.75,474.9,491.75,50,1900,0
2021.10.01 14:46,491.75,491.75,491.75,491.75,50,1900,0
2021.10.01 14:58,495.75,495.75,495.75,495.75,50,1900,0
2021.10.01 15:01,518.75,522.7,517.45,522.7,250,1950,0
2021.10.01 15:02,522.7,523.65,522.7,523.65,100,1950,0
2021.10.01 15:09,509.95,509.95,509.95,509.95,50,1850,0
2021.10.01 15:10,511.65,511.65,511.65,511.65,100,1850,0
2021.10.01 15:17,488.45,488.45,484.2,484.2,200,1500,0
2021.10.01 15:18,485.95,490.35,485.95,490.35,50,1300,0
2021.10.01 15:29,490.35,490.35,490.35,490.35,50,1300,0
2021.10.04 09:15,533.6,533.6,533.6,533.6,50,1300,0
2021.10.04 09:21,566.25,566.25,566.2,566.2,200,1300,0
2021.10.04 09:23,570.2,570.85,570.2,570.85,50,1450,0
2021.10.04 09:25,570.85,571.45,570.85,571.45,400,1450,0
2021.10.04 09:26,564.4,586.95,564.4,586.95,200,1500,0
2021.10.04 09:38,586.95,590.25,586.95,590.25,50,1550,0
2021.10.04 09:42,590.25,590.25,590.25,590.25,200,1550,0
2021.10.04 10:20,662.85,670.0,662.85,670.0,50,1400,0
2021.10.04 10:37,670.0,687.6,670.0,687.6,50,1450,0
2021.10.04 10:46,687.6,691.8,687.6,691.8,50,1450,0
2021.10.04 10:47,691.8,697.0,691.8,697.0,200,1400,0
2021.10.04 10:49,697.0,697.0,697.0,697.0,50,1400,0
2021.10.04 11:31,670.0,670.0,631.1,631.1,50,1450,0
2021.10.04 12:37,631.1,640.15,631.1,640.15,150,1450,0
2021.10.04 12:40,640.15,661.75,640.15,661.75,50,1450,0
2021.10.04 14:41,661.75,661.75,661.75,661.75,50,1400,0
2021.10.04 14:44,661.75,661.75,659.1,659.1,100,1400,0
2021.10.04 14:45,659.1,659.1,659.1,659.1,50,1400,0
2021.10.04 15:03,646.9,646.9,646.9,646.9,50,1350,0
2021.10.05 09:17,594.5,594.5,594.5,594.5,50,1350,0
2021.10.05 09:21,624.85,630.0,624.85,630.0,50,1400,0
2021.10.05 09:25,630.0,630.0,630.0,630.0,50,1400,0
2021.10.05 09:30,618.15,618.15,606.3,606.3,50,1350,0
2021.10.05 09:32,606.3,606.3,606.3,606.3,50,1350,0
2021.10.05 09:52,627.25,627.25,620.15,620.15,1050,2050,0
2021.10.05 09:54,620.15,620.15,620.15,620.15,1050,2050,0
2021.10.05 10:02,609.45,631.0,609.45,631.0,50,1250,0
2021.10.05 11:52,631.0,631.0,631.0,631.0,100,1250,0
2021.10.05 11:53,631.0,631.0,631.0,631.0,50,1250,0
2021.10.05 14:47,781.8,785.05,780.2,785.05,100,1350,0
2021.10.05 15:13,785.05,786.0,785.05,786.0,100,1350,0
2021.10.05 15:15,786.0,786.0,786.0,786.0,50,1300,0
2021.10.06 09:25,801.35,801.35,801.35,801.35,150,1300,0
2021.10.06 09:34,808.8,808.8,808.8,808.8,50,1250,0
2021.10.06 10:08,800.0,800.0,800.0,800.0,50,1200,0
2021.10.06 13:39,675.0,675.0,675.0,675.0,100,1150,0
2021.10.06 14:48,600.0,600.0,600.0,600.0,50,1100,0
2021.10.07 09:23,724.95,724.95,724.95,724.95,200,1150,0
2021.10.07 09:55,775.35,775.35,775.35,775.35,50,1150,0
2021.10.07 10:00,765.0,765.0,765.0,765.0,50,1150,0
2021.10.07 10:08,758.05,766.0,758.05,766.0,50,1150,0
2021.10.07 11:13,766.0,766.0,766.0,766.0,100,1150,0
2021.10.07 12:38,802.0,802.0,802.0,802.0,50,1150,0
2021.10.07 12:59,786.5,786.5,786.5,786.5,50,1150,0
2021.10.07 14:34,767.05,767.05,755.0,755.0,150,1150,0
2021.10.07 14:52,755.0,755.0,755.0,755.0,50,1150,0
2021.10.07 15:07,753.0,753.0,753.0,753.0,50,1100,0
2021.10.07 15:10,747.65,747.65,745.65,745.65,650,1050,0
