Date,Open,High,Low,Close,Tick Volume,Volume,Spread
2021.10.01 09:17,771.25,772.75,771.25,772.75,150,1450,0
2021.10.01 09:18,757.3,774.15,757.3,774.15,200,1600,0
2021.10.01 09:24,773.55,781.7,773.55,781.7,200,1600,0
2021.10.01 09:25,781.7,781.7,773.85,773.85,250,1600,0
2021.10.01 09:30,768.35,768.35,767.1,767.1,100,1800,0
2021.10.01 09:35,757.55,757.55,757.55,757.55,200,1850,0
2021.10.01 09:36,753.9,753.9,753.9,753.9,200,1850,0
2021.10.01 09:37,755.3,755.3,755.3,755.3,50,1850,0
2021.10.01 09:38,755.0,755.0,755.0,755.0,100,1850,0
2021.10.01 09:39,755.0,755.0,755.0,755.0,50,1850,0
2021.10.01 09:40,755.0,755.0,755.0,755.0,300,1850,0
2021.10.01 09:41,755.0,755.0,744.35,744.35,400,2200,0
2021.10.01 09:42,744.35,744.35,740.4,740.4,650,2200,0
2021.10.01 09:43,740.4,740.4,740.4,740.4,250,2200,0
2021.10.01 09:48,776.5,776.5,771.4,771.4,200,2200,0
2021.10.01 09:49,771.0,771.0,771.0,771.0,100,2200,0
2021.10.01 09:53,788.4,797.0,788.25,797.0,200,2050,0
2021.10.01 09:54,797.0,800.05,797.0,800.05,50,2050,0
2021.10.01 09:55,800.05,800.05,800.05,800.05,100,2050,0
2021.10.01 09:56,794.35,794.35,793.3,793.3,100,2050,0
2021.10.01 09:57,793.3,793.3,788.0,788.0,50,2050,0
2021.10.01 09:58,788.0,788.0,783.85,783.85,100,2000,0
2021.10.01 09:59,783.85,783.85,783.85,783.85,100,2000,0
2021.10.01 10:00,785.25,785.25,785.25,785.25,100,2000,0
2021.10.01 10:03,783.15,783.15,783.15,783.15,50,1900,0
2021.10.01 10:04,783.0,783.0,783.0,783.0,50,1900,0
2021.10.01 10:05,771.8,772.7,770.0,770.0,250,1850,0
2021.10.01 10:06,770.0,783.0,770.0,783.0,200,1850,0
2021.10.01 10:07,783.0,783.0,783.0,783.0,200,1850,0
2021.10.01 10:12,776.5,776.5,776.0,776.0,200,1700,0
2021.10.01 10:14,780.1,780.1,777.0,777.0,50,1750,0
2021.10.01 10:15,777.0,777.0,777.0,777.0,100,1750,0
2021.10.01 10:16,775.0,775.0,758.05,758.05,50,1750,0
2021.10.01 10:17,758.05,758.05,758.05,758.05,100,1750,0
2021.10.01 10:19,751.4,751.4,751.4,751.4,100,1850,0
2021.10.01 10:20,745.7,745.7,745.7,745.7,200,1750,0
2021.10.01 10:28,750.0,750.0,750.0,750.0,200,1750,0
2021.10.01 10:29,731.45,755.35,731.45,755.35,200,1900,0
2021.10.01 10:33,755.35,755.35,750.0,750.0,100,1900,0
2021.10.01 10:34,750.0,750.0,750.0,750.0,200,1900,0
2021.10.01 10:35,760.4,760.4,760.4,760.4,200,2050,0
2021.10.01 10:36,755.0,755.0,755.0,755.0,100,2050,0
2021.10.01 10:37,770.0,770.0,749.4,749.4,300,2350,0
2021.10.01 10:38,749.4,749.4,749.4,749.4,100,2350,0
2021.10.01 10:40,740.0,740.0,734.75,734.75,800,2350,0
2021.10.01 10:44,741.55,741.55,741.0,741.0,100,1850,0
2021.10.01 10:45,741.0,743.7,741.0,743.7,100,1700,0
2021.10.01 11:11,743.7,743.7,743.7,743.7,100,1700,0
2021.10.01 11:12,740.4,745.0,738.4,745.0,400,1700,0
2021.10.01 11:13,745.0,745.0,726.65,726.65,300,1700,0
2021.10.01 11:14,726.65,733.85,726.65,733.85,200,1950,0
2021.10.01 11:15,733.85,733.85,733.0,733.0,400,1950,0
2021.10.01 11:16,733.0,733.0,733.0,733.0,200,1950,0
2021.10.01 11:21,731.25,731.25,723.35,723.35,100,1700,0
2021.10.01 11:22,723.35,733.4,723.35,733.4,200,1700,0
