Date,Open,High,Low,Close,Tick Volume,Volume,Spread
2021.10.01 09:15,74.47,74.48,74.47,74.47,5276,1738813,0
2021.10.01 09:16,74.48,74.48,74.47,74.47,845,1738813,0
2021.10.01 09:17,74.47,74.47,74.47,74.47,1458,1738813,0
2021.10.01 09:18,74.47,74.47,74.47,74.47,2951,1737811,0
2021.10.01 09:19,74.47,74.47,74.47,74.47,1157,1737811,0
2021.10.01 09:20,74.47,74.49,74.47,74.48,4667,1737811,0
2021.10.01 09:21,74.48,74.49,74.48,74.48,1335,1742107,0
2021.10.01 09:22,74.48,74.49,74.48,74.49,1797,1742107,0
2021.10.01 09:23,74.48,74.49,74.47,74.47,1303,1742107,0
2021.10.01 09:24,74.47,74.48,74.47,74.47,1922,1742176,0
2021.10.01 09:25,74.48,74.48,74.47,74.48,691,1742176,0
2021.10.01 09:26,74.48,74.48,74.47,74.47,649,1742176,0
2021.10.01 09:27,74.47,74.48,74.47,74.48,443,1742723,0
2021.10.01 09:28,74.47,74.48,74.47,74.48,2142,1742723,0
2021.10.01 09:29,74.48,74.49,74.48,74.48,2706,1742723,0
2021.10.01 09:30,74.48,74.48,74.47,74.48,2452,1743535,0
2021.10.01 09:31,74.48,74.48,74.48,74.48,788,1743535,0
2021.10.01 09:32,74.48,74.48,74.47,74.47,3364,1743535,0
2021.10.01 09:33,74.47,74.48,74.47,74.48,2579,1744801,0
2021.10.01 09:34,74.48,74.48,74.47,74.47,1245,1744801,0
2021.10.01 09:35,74.47,74.48,74.47,74.48,1084,1744801,0
2021.10.01 09:36,74.47,74.48,74.47,74.48,2955,1746340,0
2021.10.01 09:37,74.47,74.48,74.47,74.48,2308,1746340,0
2021.10.01 09:38,74.48,74.49,74.48,74.48,690,1746340,0
2021.10.01 09:39,74.48,74.48,74.47,74.47,2100,1747193,0
2021.10.01 09:40,74.47,74.47,74.47,74.47,383,1747193,0
2021.10.01 09:41,74.48,74.48,74.47,74.47,4418,1747193,0
2021.10.01 09:42,74.47,74.48,74.47,74.48,1229,1747809,0
2021.10.01 09:43,74.47,74.48,74.47,74.48,956,1747809,0
2021.10.01 09:44,74.48,74.48,74.48,74.48,335,1747809,0
2021.10.01 09:45,74.48,74.48,74.48,74.48,432,1748726,0
2021.10.01 09:46,74.48,74.48,74.47,74.48,4499,1748726,0
2021.10.01 09:47,74.49,74.49,74.48,74.48,2718,1748726,0
2021.10.01 09:48,74.49,74.49,74.48,74.49,1750,1749603,0
2021.10.01 09:49,74.49,74.49,74.48,74.48,2102,1749603,0
2021.10.01 09:50,74.48,74.49,74.48,74.48,2672,1749603,0
2021.10.01 09:51,74.48,74.49,74.48,74.49,770,1754362,0
2021.10.01 09:52,74.49,74.5,74.49,74.49,4731,1754362,0
2021.10.01 09:53,74.49,74.49,74.48,74.49,6151,1754362,0
2021.10.01 09:54,74.49,74.5,74.49,74.5,1931,1757496,0
2021.10.01 09:55,74.5,74.5,74.49,74.5,6484,1757496,0
2021.10.01 09:56,74.5,74.5,74.5,74.5,2180,1757496,0
2021.10.01 09:57,74.5,74.5,74.5,74.5,1098,1758546,0
2021.10.01 09:58,74.5,74.5,74.5,74.5,596,1758546,0
2021.10.01 09:59,74.5,74.5,74.5,74.5,1658,1758546,0
2021.10.01 10:00,74.5,74.53,74.5,74.52,12021,1760361,0
2021.10.01 10:01,74.52,74.53,74.51,74.52,5315,1760361,0
2021.10.01 10:02,74.53,74.54,74.52,74.54,19621,1760361,0
2021.10.01 10:03,74.54,74.54,74.53,74.53,3335,1766317,0
2021.10.01 10:04,74.53,74.53,74.51,74.51,7974,1766317,0
2021.10.01 10:05,74.51,74.51,74.5,74.5,8467,1766317,0
2021.10.01 10:06,74.5,74.51,74.5,74.51,4442,1761266,0
2021.10.01 10:07,74.51,74.52,74.5,74.52,4106,1761266,0
2021.10.01 10:08,74.51,74.53,74.51,74.53,5395,1761266,0
2021.10.01 10:09,74.53,74.53,74.52,74.53,2779,1757061,0
2021.10.01 10:10,74.52,74.53,74.52,74.53,3917,1757061,0
2021.10.01 10:11,74.53,74.53,74.52,74.52,2448,1757061,0
2021.10.01 10:12,74.52,74.52,74.51,74.51,2841,1759819,0
2021.10.01 10:13,74.51,74.51,74.5,74.5,6285,1759819,0
2021.10.01 10:14,74.5,74.51,74.5,74.5,2758,1759819,0
2021.10.01 10:15,74.5,74.5,74.49,74.5,6090,1761348,0
2021.10.01 10:16,74.5,74.51,74.5,74.5,8406,1761348,0
2021.10.01 10:17,74.5,74.5,74.5,74.5,1593,1761348,0
2021.10.01 10:18,74.5,74.5,74.49,74.5,3432,1757900,0
2021.10.01 10:19,74.5,74.5,74.49,74.49,9939,1757900,0
2021.10.01 10:20,74.49,74.5,74.49,74.49,1943,1757900,0
2021.10.01 10:21,74.49,74.49,74.49,74.49,2084,1759651,0
2021.10.01 10:22,74.49,74.5,74.48,74.5,3615,1759651,0
2021.10.01 10:23,74.49,74.5,74.49,74.5,1059,1759651,0
2021.10.01 10:24,74.49,74.49,74.48,74.49,2169,1759607,0
2021.10.01 10:25,74.49,74.49,74.48,74.49,6072,1759607,0
2021.10.01 10:26,74.49,74.49,74.48,74.48,2720,1759607,0
2021.10.01 10:27,74.48,74.48,74.46,74.46,19516,1757145,0
2021.10.01 10:28,74.46,74.47,74.45,74.45,6877,1757145,0
2021.10.01 10:29,74.45,74.46,74.43,74.43,15448,1757145,0
